reference_code, excluded_code
RELREL0	,	RELO1000X
REGSTA0	,	STAD1000X
RENREE01	,	RENA1000X
RENREE02	,	RENA2000X
RENREN01	,	RENN1000X
RESHAL0	,	HALA1000X
RINKOR01	,	KORN2000X
RINKOR02	,	KORN3000X
RINRID01	,	RIDN2000X
RINRID02	,	RIDN3000X
RINRIN0	,	RIDN4000X
RATRAT0	,	RATT1000X
SAESAM0	,	SAMR1000X
SAHBYC3	,	BYGP100TX
SAHMIL3	,	MILC100TX
SAHBIM3	,	BIMA100TX
SAHBYV0	,	BYGA1000X
SAMINE0	,	INTE1000X
SAMINR0	,	INTR1000X
SAMSAM01a1	,	SAMH1A10X
SAMSAM01a2	,	SAMH1A20X
SAMSAM01b	,	SAMH1B00X
SAMSAM02	,	SAMH2000X
SAMSAM03	,	SAMH3000X
SASSAM0	,	SAMI1000X
SAISAM0	,	SAMS1000X
SAISAM01S	,	SAMK1000X
SAASAA0	,	SAMM1000X
SAASVT0	,	SVEE1000X
SERFRU0	,	FRUK1000X
SEVSEV01	,	SERV1000X
SEISEI01	,	SERI1000X
SEISEI02	,	SERI2000X
SJOGRN0	,	SJOA1000X
SKOFIS01	,	FISK1000X
SKOFIS02	,	FISK2000X
SKOJAK01	,	JAKT1000X
SKOJAK02	,	JAKT2000X
SKBSKO0	,	SKOG1000X
SKMTER0	,	TERR1000X
"SKÖBEK0,SKÖSKÖ0"	,	SKOT1000X
SNOPIM0	,	PISA1000X
SNOPIS0	,	PISM1000X
SNOREE0	,	SNOK1000X
"SNOREP0,SNOSNO0"	,	"SNOF1000X,SNOF2000X"
SOASOC01	,	SOCL1000X
SOASOC02	,	SOCL2000X
SOCSOC01	,	SOCA1000X
SOCSOC02	,	SOCA2000X
SOIUNG0	,	UNGD1000X
SPEIDS31	,	SPEC100IX
SPEIDS32	,	SPEC200IX
SPEIDS33	,	SPEC300IX
"SPETRA31,SPETRA32"	,	TRAN100IX
SPETRA33	,	"SPEC300IX,TRAN100IX"
SPCSPE01	,	SPEI1000X
SPCSPE02	,	SPEI2000X
SPAXXX0	,	KREI1000X
SPAXXX01b	,	RETR1000X
"SPOSPA0,VEAVER0"	,	SPAY1000X
SUPKUN0	,	SUPP2000X
SUPSER0	,	SUPP1000X
SUPSUP0	,	SUPP3000X
SVELIT0	,	LITT1000X
SVERET0	,	RETO1000X
SVESVE01	,	SVEN1000X
SVESVE02	,	SVEN2000X
SVESVE03	,	SVEN3000X
SVNSVN01	,	SVED1000X
SVNSVN02	,	SVED2000X
SVNSVN03	,	SVED3000X
SVASVA01	,	SVEA1000X
SVASVA02	,	SVEA2000X
SVASVA03	,	SVEA3000X
SVKSVK01	,	SVEK1000X
SVKSVK02	,	SVEK2000X
SVTSVT01	,	SVEY1000X
SVTSVT02	,	SVEG1000X
SVTSVT03	,	SVEO1000X
SVTSVT04	,	SVEO2000X
SVTSVT05	,	SVEF1000X
SVTSVT06	,	SVEF2000X
SVTSVT07	,	SVEF3000X
SYTSYS0	,	SPAN1000X
TEAFYS0	,	FYSI1000X
TEAREG0	,	REGI1000X
TEARÖS0	,	ROST1000X
TEASCE01	,	SCEI1000X
TEASCE02	,	SCEI2000X
TEASCE03	,	SCEI3000X
TEASCI0	,	SCES1000X
TEASCN0	,	SCES2000X
TEATEA0	,	TEAT1000X
TEKTEK01	,	TEKI1000X
TEKTEK00S	,	TEKK1000X
TEKTEK00S	,	TEKK2000X
TEKTEK00S	,	TILT100TX
TEKTEK00S	,	TILT200TX
"TEYPRO31,TEYPRO32"	,	PROL100TX
"TEYPRO31,TEYPRO32"	,	PRON100TX
TEYKOM3	,	KOMO100TX
"TESPRO31,TESPRO32"	,	PRJE100TX
"TESPRO31,TESPRO32"	,	PROS100TX
TESKOP3	,	KOMN100TX
TILTIL01	,	TILV1000X
TILTIL02	,	TILV2000X
TIATIL00S	,	TILL1000X
TIATIL00S	,	PROR100TX
TRFTRA0	,	SPAT1000X
TRAFOD0	,	FORB1000X
TRAFOR0	,	FORO1000X
TRAYRK01a	,	"YRKE1000X,YRKE2000X"
TRAYRK01b	,	"YRKE1000X,YRKE2000X"
TRAYRK1	,	YRKS100VX
TRVTRA01	,	TRAV1000X
TRVTRA02	,	TRAV2000X
TRCTRU0	,	TRUC1000X
TRÄBYG0	,	TRAA1000X
TRDTRÄ01	,	TRAD1000X
TRDTRÄ02	,	TRAD2000X
TRRTRA0	,	TRAR1000X
TRNTRN01	,	TRAG1000X
TRNTRN02	,	TRAG2000X
TÄTTÄT0	,	TATS1000X
"UNDFLY0,UNDMAT0"	,	"FLYU1000X,FLYU2000X"
VATDRI0	,	VATE1000X
VATREN0	,	VATE2000X
VATVAT0	,	MILO2000X
VANVAT0	,	VATN1000X
VELVET01	,	VENT1000X
VELVET02	,	VENT2000X
"VEAVER0,SPOSPA0"	,	SPAY1000X
VISVIS0	,	VISU1000X
VVIVVG0	,	GASS1000X
VAIVAI01	,	VANI1000X
VAIVAI02	,	VANI2000X
VADVAD00S	,	VARD1000X
VÄXVÄX01	,	VAXK1000X
VÄXVÄX02	,	VAXK2000X
VAOVAT01	,	VAXD1000X
VAOVAT02	,	VAXD2000X
WESWET3	,	"BACE100TX,BACE200TX"
WESWEB01	,	WEBS1000X
WESWEB02	,	WEBS2000X
WESWEB02	,	BACE100TX
WEUWEB01	,	WEBB1000X
WEUWEB02	,	WEBB2000X
WEUWEB33	,	"FROT100TX,FROT200TX"
"YRKAER0,YRKFLY0,YRKMAN0"	,	FLYY1000X
BARBAR51	,	BARE1N0
BARBAR52	,	BARE2N0
BIBBIL51	,	BILA1N0
BIBBIL52	,	BILA2N0
BIBBIL53	,	BILA3N0
BIABIO5	,	BIOO1N0
DABDAN51	,	DANA1N0
DABDAN52	,	DANA2N0
DIIDIG5	,	DIGT1N0
ENSENG51	,	ENGL1N0
ENSENG52	,	ENGL2N0
ENSENG53	,	ENGL3N0
